fahrt_id,fzg_id,linie,tst_iso,gap_sec
82102,869,1,2025-08-02T11:36:30.290874+0000,31
129101,849,1,2025-08-01T17:08:51.353396+0000,38
148130,851,1,2025-07-30T20:03:18.162920+0000,31
209101,881,1,2025-08-01T08:31:29.802648+0000,33
233101,881,1,2025-08-01T11:26:37.361605+0000,32
243103,901,1,2025-08-03T14:55:42.270541+0000,31
257101,881,1,2025-08-01T15:08:09.279632+0000,35
258102,857,1,2025-08-02T10:29:38.681540+0000,63
258102,857,1,2025-08-02T10:31:55.688025+0000,63
273101,881,1,2025-08-01T17:01:08.324821+0000,39
300128,867,1,2025-07-28T19:19:38.436052+0000,34
300128,867,1,2025-07-28T19:20:51.441915+0000,47
300128,867,1,2025-07-28T19:22:52.461389+0000,32
330102,902,1,2025-08-02T06:47:52.816679+0000,83
339103,882,1,2025-08-03T14:45:05.189679+0000,40
341131,873,1,2025-07-31T03:39:44.439491+0000,73
441101,873,1,2025-08-01T17:00:53.283401+0000,76
441101,873,1,2025-08-01T17:01:25.266133+0000,31
522102,882,1,2025-08-02T14:01:00.510860+0000,32
524130,852,1,2025-07-30T08:12:03.414717+0000,62
530102,882,1,2025-08-02T14:55:17.951427+0000,66
588130,852,1,2025-07-30T15:54:18.593119+0000,35
700130,849,1,2025-07-30T08:12:01.445111+0000,73
780130,849,1,2025-07-30T18:33:57.608921+0000,32
788129,883,1,2025-07-29T19:39:26.616084+0000,33
833101,888,1,2025-08-01T08:00:47.534103+0000,33
836130,857,1,2025-07-30T08:12:03.414797+0000,69
853131,855,1,2025-07-31T09:32:39.028770+0000,32
853131,855,1,2025-07-31T10:13:46.415204+0000,31
899103,881,1,2025-08-03T17:55:50.845228+0000,31
937101,888,1,2025-08-01T21:13:36.966918+0000,34
941131,855,1,2025-07-31T21:14:50.346376+0000,32
962102,873,1,2025-08-02T17:13:11.304683+0000,37
971103,904,1,2025-08-03T15:43:05.714189+0000,487
1044130,864,1,2025-07-30T14:25:10.969072+0000,31
1067103,258,2,2025-08-03T11:38:31.571334+0000,32
1081101,867,1,2025-08-01T19:26:57.407980+0000,31
1083103,258,2,2025-08-03T14:03:05.755228+0000,66
1091103,258,2,2025-08-03T14:45:05.188591+0000,43
1129101,1795,1,2025-08-01T07:19:36.116091+0000,59
1137101,1795,1,2025-08-01T08:00:35.537498+0000,34
1140128,1928,1,2025-07-28T08:14:34.703323+0000,52
1140128,1928,1,2025-07-28T08:16:42.702445+0000,59
1147127,265,2,2025-07-27T22:51:02.208546+0000,31
1162102,304,2,2025-08-02T04:46:36.167481+0000,36
1170102,304,2,2025-08-02T05:15:28.339980+0000,33
1172128,1928,1,2025-07-28T12:26:01.588763+0000,32
1187103,281,2,2025-08-03T10:11:48.860914+0000,31
1201101,1795,1,2025-08-01T16:35:56.003223+0000,31
1202102,304,2,2025-08-02T09:57:57.458713+0000,31
1211103,281,2,2025-08-03T14:03:03.744712+0000,53
1218102,304,2,2025-08-02T12:00:10.485079+0000,31
1233101,1795,1,2025-08-01T20:31:49.789597+0000,80
1249101,1795,1,2025-08-01T21:30:57.061422+0000,3485
1283103,259,2,2025-08-03T05:14:14.770135+0000,40
1292129,305,2,2025-07-29T06:17:20.370776+0000,61
1292129,305,2,2025-07-29T06:22:39.474653+0000,57
1292129,305,2,2025-07-29T06:33:48.493682+0000,37
1292129,305,2,2025-07-29T06:38:48.548451+0000,66
1297101,278,2,2025-08-01T08:24:26.736556+0000,60
1305101,278,2,2025-08-01T08:32:11.790006+0000,51
1305101,278,2,2025-08-01T09:16:04.218826+0000,37
1306102,304,2,2025-08-03T01:33:34.525038+0000,31
1307103,259,2,2025-08-03T08:09:37.911278+0000,31
1324128,265,2,2025-07-28T11:19:04.039981+0000,36
1324128,265,2,2025-07-28T11:29:47.142738+0000,37
1324128,265,2,2025-07-28T11:45:59.270754+0000,63
1324130,256,2,2025-07-30T10:41:58.498959+0000,32
1324130,256,2,2025-07-30T10:57:43.586953+0000,44
1329101,278,2,2025-08-01T12:41:00.965200+0000,44
1346102,259,2,2025-08-02T05:16:08.329209+0000,98
1347103,259,2,2025-08-03T14:02:53.753167+0000,50
1347103,259,2,2025-08-03T14:22:18.942857+0000,33
1353101,278,2,2025-08-01T16:01:52.719907+0000,39
1353101,278,2,2025-08-01T16:02:55.715918+0000,45
1356128,265,2,2025-07-28T15:21:15.822870+0000,32
1356128,265,2,2025-07-28T16:01:44.098172+0000,32
1361101,278,2,2025-08-01T16:52:32.219782+0000,32
1361101,278,2,2025-08-01T17:01:56.272546+0000,33
1365131,261,2,2025-07-31T17:15:43.718526+0000,33
1369101,278,2,2025-08-01T17:49:26.648746+0000,68
1370102,259,2,2025-08-02T07:41:03.337303+0000,31
1370102,259,2,2025-08-02T07:49:03.395362+0000,32
1372129,305,2,2025-07-29T17:53:25.893396+0000,31
1377101,278,2,2025-08-01T19:33:16.436748+0000,34
1385101,278,2,2025-08-01T20:07:19.646944+0000,35
1385101,278,2,2025-08-01T20:08:17.644458+0000,31
1404128,265,2,2025-07-28T22:54:36.586379+0000,32
