linie,total_rows,n1_count,n2_count,n4_count,n5_count,n6_count,any_noisy_count,noisy_rate
6,367128,0,928,2331,2475,2475,5733,0.015615807020984506
12,338389,0,1220,1483,2699,2699,5205,0.015381705670101569
1,349323,0,993,3112,582,582,4675,0.013383029459840892
4,742168,0,1465,4427,2149,2147,7959,0.010723987021806384
7,605653,0,2489,2269,1561,1561,6184,0.010210467049614218
10,256220,0,1117,1263,265,265,2491,0.009722113808445867
13,319039,0,1033,910,1068,1068,2963,0.009287265820166186
9,281259,0,1001,1050,567,587,2412,0.008575725576781544
3,443862,0,1010,1091,1562,1562,3642,0.008205252984035578
11,560370,0,2258,1268,1076,1189,4466,0.00796973428270607
8,281456,0,967,456,514,514,1919,0.00681811721903246
2,435217,0,415,941,660,660,2016,0.004632171996957839
