typ,typ_nr,num_vehicles,kapazitaet,laenge,masse
NGTD 12 DD,14.0,44,222.0,45.0,56700.0
NGTD 8 DD,15.0,41,145.0,30.0,38700.0
NGT 6 DD,9.0,38,160.0,30.0,33400.0
MB O530G,19.0,38,91.0,18.0,0.0
NGTDX,26.0,32,242.0,45.0,53500.0
MAN LC18C,19.0,30,91.0,18.0,0.0
MAN A40,19.0,27,91.0,18.0,0.0
CapaCity L,25.0,26,107.0,21.0,0.0
NGT 8 DD,13.0,24,220.0,42.0,48100.0
MBeCitaroG,0.0,18,0.0,18.0,0.0
MB O530G,8.0,17,91.0,18.0,0.0
NGT 6 DD 2,10.0,14,156.0,30.0,34500.0
MB O530GC2,19.0,14,91.0,18.0,0.0
NGTDX ZR,27.0,10,240.0,45.0,54900.0
MAN LC12,18.0,9,58.0,12.0,0.0
MB O530KC2,5.0,7,48.0,10.0,0.0
MAN LC GL,24.0,6,96.0,19.0,0.0
MAN LC18,8.0,6,91.0,18.0,0.0
CargoTram,23.0,5,0.0,60.0,0.0
MB O530 C2,18.0,5,58.0,12.0,0.0
MAN LC18,19.0,4,91.0,18.0,0.0
MB O530,7.0,4,58.0,12.0,0.0
MAN LC12,7.0,4,58.0,12.0,0.0
SchiebeFz.,1.0,4,74.0,15.0,17220.0
MB O530 C2,7.0,3,58.0,12.0,0.0
T4D MT,3.0,3,222.0,45.0,51660.0
Testzweck,18.0,3,58.0,12.0,0.0
MB Unimog,0.0,2,0.0,8.0,0.0
MB O530KC2,18.0,2,58.0,12.0,0.0
MAN NL 263,7.0,2,58.0,12.0,0.0
MAN A23,19.0,2,91.0,18.0,0.0
MBSprinter,0.0,2,0.0,8.0,0.0
Urbino 12,18.0,2,58.0,12.0,0.0
MB O530CC2,25.0,2,107.0,21.0,0.0
MB eCitaro,0.0,2,0.0,12.0,0.0
Schleifwg.,1.0,2,74.0,15.0,17220.0
MAN A66,7.0,2,58.0,12.0,0.0
T4D MT,1.0,2,74.0,15.0,17220.0
Urbino 18,19.0,1,91.0,18.0,0.0
MB O530 SG,8.0,1,91.0,18.0,0.0
MB ATECO,0.0,1,0.0,8.0,0.0
MBReisebus,0.0,1,0.0,12.0,0.0
Rillensaug,0.0,1,0.0,8.0,0.0
MB Axor,0.0,1,0.0,8.0,0.0
MB O530GC2,8.0,1,91.0,18.0,0.0
Kinderbahn,1.0,1,74.0,15.0,17220.0
FL-Meßwg.,1.0,1,74.0,15.0,17220.0
MB Kipper,0.0,1,0.0,8.0,0.0
Fz-Test,19.0,1,91.0,18.0,0.0
Urbino 12E,18.0,1,58.0,12.0,0.0
