linie,total_rows,n1_count,n2_count,n4_count,n5_count,n6_count,any_noisy_count,noisy_rate
60,59053,0,10,0,59053,36086,59053,1.0
59,57130,0,0,0,57130,42223,57130,1.0
103,221,0,6,16,44,44,66,0.2986425339366516
478,12129,0,0,0,2145,0,2145,0.17684887459807075
522,12767,0,0,55,2200,0,2255,0.17662724210856112
166,34312,0,50,603,4839,4430,5550,0.16175099090697131
228,7190,0,0,0,905,0,905,0.1258692628650904
477,36995,0,0,529,4063,0,4592,0.12412488174077578
366,5372,77,0,37,485,0,595,0.11075949367088607
83,13470,0,0,95,1244,0,1339,0.0994060876020787
98,18733,3,0,165,1589,0,1756,0.09373832274595634
162,34823,0,0,481,2644,0,3125,0.08973953995922235
86,51934,0,0,167,3991,0,4158,0.08006315708399123
521,28955,0,0,49,2201,0,2250,0.07770678639267829
72,88564,0,131,179,6465,5884,6774,0.07648706020504946
77,105173,0,106,1728,6080,4343,7913,0.07523794129672064
386,8380,0,0,43,587,0,630,0.07517899761336516
108,148811,0,287,7511,3132,3132,10915,0.07334807238712192
520,21988,1,0,185,1347,0,1533,0.06971984718937603
93,6834,0,0,1,435,0,436,0.06379865378987416
88,81071,0,63,1402,2629,814,4094,0.0504989453688742
79,31331,0,60,236,1068,1068,1364,0.04353515687338419
84,44136,0,84,323,1461,1396,1868,0.04232372666304151
78,112047,0,1170,781,2383,2383,4321,0.03856417396271208
68,471027,0,1336,5437,10082,10116,16872,0.035819602697934515
112,110390,0,84,2380,1459,1486,3927,0.03557387444514902
74,31288,0,71,16,982,982,1068,0.03413449245717208
80,246485,0,448,1716,6207,6083,8371,0.03396149867131874
62,393961,0,917,1959,10058,10078,12909,0.03276720284495166
66,302639,0,851,570,7743,6155,9219,0.030462035626604635
81,65272,2,172,189,1631,1431,1984,0.030395881848265718
104,231472,0,950,722,5173,5173,6816,0.029446326121517936
63,549875,0,1570,3335,10161,10179,14945,0.02717890429643101
89,17683,0,80,0,394,363,474,0.026805406322456597
65,312097,0,1008,2713,4313,4337,7853,0.025162048978362495
70,257420,0,568,359,5560,5577,6471,0.02513790692253904
106,167342,0,760,441,2981,2981,4182,0.024990737531522273
85,124017,0,258,98,2522,2572,2927,0.023601603006039494
61,653320,0,2309,1917,9216,9297,13511,0.020680524092328414
87,79471,0,177,852,483,597,1622,0.02040996086622793
90,129360,0,418,554,1254,1433,2309,0.017849412492269637
113,223723,0,673,897,2192,2192,3733,0.01668581236618497
6,367262,0,927,2494,2475,2475,5895,0.01605121139676852
12,338422,0,1218,1485,2722,2722,5228,0.015448168263292575
1,349297,0,993,3112,582,582,4675,0.01338402562861977
64,467879,0,1329,4188,680,680,5931,0.012676354356575097
73,30578,0,98,0,281,283,381,0.012459938517888678
4,742352,0,1470,4427,2205,2203,8020,0.010803500226307735
7,604504,0,2485,2242,1568,1568,6162,0.010193480936437144
10,256214,0,1115,1256,265,265,2482,0.009687214594050286
92,28947,0,263,11,6,6,277,0.009569212699070715
13,318984,0,1036,910,1048,1048,2946,0.00923557294409751
9,281259,0,1001,1050,567,587,2412,0.008575725576781544
3,443907,0,1011,1091,1562,1562,3643,0.00820667392043829
11,560463,0,2263,1268,1076,1189,4471,0.007977333026444208
8,281017,0,968,458,520,520,1928,0.006860794898529271
47,77936,0,400,44,13,13,445,0.005709813180045166
2,435180,0,415,955,687,687,2057,0.004726779723332874
